simulation_index,country,age_testing_strategy,WHO_region,pandemic,time_of_pandemic,total_cost_pand_ngiv,total_cost_epid_ngiv,vaccs_pand_ngiv,vaccs_epid_ngiv,total_cost_pand_base,total_cost_epid_base,vaccs_pand_base,vaccs_epid_base,threshold_cost_pand,threshold_cost_epid,tc_diff,sens_a
1,GBR,2,EUR,1918,1,318677420410.853,14224057858.037775,7326984.114179065,7326984.114179065,344412309637.6098,15545816572.272732,14744473.173328124,14744473.173328124,3512.344073048421,180.39601200678325,3331.9480610416376,50% coverage
1,GBR,2,EUR,1918,2,314095570644.1213,19074442291.791943,8659075.035222549,8659075.035222549,340355878384.6106,21546131196.945213,19288423.830525823,19288423.830525823,3032.6920177582683,285.4449112750696,2747.247106483199,50% coverage
1,GBR,2,EUR,1918,3,306983524137.0255,19311542137.356033,9991797.103548853,9991797.103548853,334305406114.37274,22574625516.58021,23799201.816554032,23799201.816554032,2734.4312233525175,326.57622501814086,2407.8549983343764,50% coverage
1,GBR,2,EUR,1918,4,305287254435.9362,27615417159.10306,11288393.561178258,11288393.561178258,334471766533.5229,33294129389.739033,28229905.877334885,28229905.877334885,2585.3556521943638,503.0576051286468,2082.298047065717,50% coverage
1,GBR,2,EUR,1918,5,300114035562.0078,32009385907.600967,12568762.862111181,12568762.862111181,329435641300.72577,38463214331.926414,32609457.405287415,32609457.405287415,2332.895135376338,513.4815968070062,1819.413538569332,50% coverage
1,GBR,2,EUR,1918,6,295217608124.7946,36277061749.920395,13833955.133122537,13833955.133122537,324539040093.49524,43422099211.15629,36941158.24401316,36941158.24401316,2119.5263167000253,516.485516432577,1603.0408002674483,50% coverage
1,GBR,2,EUR,1918,7,288645991287.41034,38508852150.80205,15084872.726328967,15084872.726328967,318464277632.10297,46869167993.86866,41227998.7428518,41227998.7428518,1976.7012215255966,554.2185204171203,1422.4827011084762,50% coverage
1,GBR,2,EUR,1918,8,284256338675.0611,46600960544.173805,16322345.670162708,16322345.670162708,314158117774.05817,55949615672.32324,45472705.575772695,45472705.575772695,1831.9535502582576,572.7519387877445,1259.201611470513,50% coverage
1,GBR,2,EUR,1918,9,284432093205.41644,50937941108.08627,17564648.185071543,17564648.185071543,315126020731.83777,61621496554.49016,49701608.18457055,49701608.18457055,1747.4831948247363,608.2419262734792,1139.2412685512572,50% coverage
1,GBR,2,EUR,1918,10,278927598825.07153,53298107946.79077,18777539.89832733,18777539.89832733,309424899328.4828,64506697257.40805,53869421.322387174,53869421.322387174,1624.1371696474416,596.9146848472798,1027.222484800162,50% coverage
1,GBR,2,EUR,1918,11,272534065758.53613,56832367975.74036,19979026.81101108,19979026.81101108,302683266513.3813,68911096851.13225,58001894.357978135,58001894.357978135,1509.0425094293867,604.5704322662463,904.4720771631404,50% coverage
1,GBR,2,EUR,1918,12,271090051625.74026,60434798323.96501,21169763.456479758,21169763.456479758,301484080004.30383,72894059799.78561,62100935.87662811,62100935.87662811,1435.7282943216069,588.5404199926005,847.1878743290064,50% coverage
1,GBR,2,EUR,1918,13,265116560553.84384,63799427028.72525,22350289.81108923,22350289.81108923,295469974630.23724,77346477858.7127,66168268.30753141,66168268.30753141,1358.0769794462967,606.1241686121675,751.9528108341292,50% coverage
1,GBR,2,EUR,1918,14,260635349164.8438,63958882524.40864,23537759.244801745,23537759.244801745,290902474102.1853,77556972373.18446,70228325.38068983,70228325.38068983,1285.8966149900573,577.7138642362029,708.1827507538544,50% coverage
1,GBR,2,EUR,1918,15,256296881021.31738,66246882860.145515,24699382.849593766,24699382.849593766,286906549558.2749,80797470334.9113,74236939.62094617,74236939.62094617,1239.2888001839674,589.10732965966,650.1814705243074,50% coverage
1,GBR,2,EUR,1918,16,252979269893.37823,69354515042.53714,25852092.330670454,25852092.330670454,283405748308.0999,84296783208.31964,78218123.95135903,78218123.95135903,1176.9445206036285,577.990669948802,598.9538506548265,50% coverage
1,GBR,2,EUR,1918,17,249771461872.92548,72356809733.7383,26996327.44816146,26996327.44816146,280215020487.7976,87867977141.92572,82173088.71052606,82173088.71052606,1127.6925971997514,574.5658344814523,553.1267627182991,50% coverage
1,GBR,2,EUR,1918,18,248001375694.7143,76589859319.97646,28132433.3099925,28132433.3099925,278812828252.08075,93000129437.11984,86102919.1496856,86102919.1496856,1095.2288491313113,583.322101444902,511.9067476864093,50% coverage
1,GBR,2,EUR,1918,19,242246076836.77917,76637891155.26077,29260724.746352717,29260724.746352717,272671427304.5447,93173353346.40012,90008603.75993156,90008603.75993156,1039.8016703792678,565.1077454327392,474.69392494652857,50% coverage
1,GBR,2,EUR,1918,20,241798206356.079,81800190529.15764,30397386.712031364,30397386.712031364,273111512806.7661,99715607325.13597,93913010.76434596,93913010.76434596,1030.131528980852,589.3735854894186,440.75794349143337,50% coverage
1,GBR,2,EUR,1918,21,236433853308.17252,81847784419.5196,31510960.040098693,31510960.040098693,267435440457.4564,99933381579.16164,97773144.95044103,97773144.95044103,983.8350564322184,573.9462439934402,409.88881243877813,50% coverage
1,GBR,2,EUR,1918,22,234028921389.3293,84689710169.72498,32617446.944978006,32617446.944978006,265116217005.1104,103315281529.14795,101611570.65733495,101611570.65733495,953.0879491648104,571.0309390812296,382.05701008358085,50% coverage
1,GBR,2,EUR,1918,23,231729519126.7966,87460838604.93935,33717124.53802802,33717124.53802802,263166045035.28754,106871832041.8447,105428986.13757597,105428986.13757597,932.3608207762528,575.701329898775,356.65949087747777,50% coverage
1,GBR,2,EUR,1918,24,227637621210.8998,89793376425.53615,34810191.532793336,34810191.532793336,259058197548.61792,109943921248.04881,109226009.67831826,109226009.67831826,902.6257815363641,578.8691166358454,323.7566649005187,50% coverage
1,GBR,2,EUR,1918,25,224523860862.35602,89892417268.34941,35896828.78741524,35896828.78741524,255939071295.1791,110107410380.34558,113003203.45389593,113003203.45389593,875.1528058054163,563.1414750230853,312.011330782331,50% coverage
1,GBR,2,EUR,1918,26,221631818167.93137,91578227093.88976,36992501.64267128,36992501.64267128,253336601722.25278,112473093629.03973,116782332.358921,116782332.358921,857.0597322823276,564.8405922093008,292.2191400730268,50% coverage
1,GBR,2,EUR,1918,27,217253329718.36285,91614937027.5161,38066830.42208807,38066830.42208807,248978412402.5319,112912899698.158,120521470.81754658,120521470.81754658,833.4048916707478,559.4887316461178,273.91616002463,50% coverage
