"","country","iso3c","WHO_region","income_g","year","doses","pop_name","vacc_scenario"
"110","Malawi","MWI","AFRO","Low income",2023,0,"children","0"
"111","Maldives","MDV","SEARO","Upper middle income",2023,0,"children","0"
"112","Mali","MLI","AFRO","Low income",2023,0,"children","0"
"113","Mauritania","MRT","AFRO","Lower middle income",2023,0,"children","0"
"114","Micronesia, Federated States of","FSM","WPRO","Lower middle income",2023,0,"children","0"
"115","Moldova, Republic of","MDA","EURO","Upper middle income",2023,0,"children","0"
"116","Montenegro","MNE","EURO","Upper middle income",2023,0,"children","0"
"117","Morocco","MAR","EMRO","Lower middle income",2023,0,"children","0"
"118","Mozambique","MOZ","AFRO","Low income",2023,0,"children","0"
"119","Myanmar","MMR","SEARO","Lower middle income",2023,0,"children","0"
"120","Namibia","NAM","AFRO","Upper middle income",2023,0,"children","0"
"121","Nepal","NPL","SEARO","Lower middle income",2023,0,"children","0"
"122","Netherlands","NLD","EURO","High income",2023,0,"children","0"
"123","Nicaragua","NIC","AMRO","Lower middle income",2023,0,"children","0"
"124","Niger","NER","AFRO","Low income",2023,0,"children","0"
"125","Nigeria","NGA","AFRO","Lower middle income",2023,0,"children","0"
"126","Norway","NOR","EURO","High income",2023,0,"children","0"
"127","Oman","OMN","EMRO","High income",2023,0,"children","0"
"128","Pakistan","PAK","EMRO","Lower middle income",2023,0,"children","0"
"129","Papua New Guinea","PNG","SEARO","Lower middle income",2023,0,"children","0"
"130","Philippines","PHL","WPRO","Lower middle income",2023,0,"children","0"
"131","Portugal","PRT","EURO","High income",2023,0,"children","0"
"132","Rwanda","RWA","AFRO","Low income",2023,0,"children","0"
"133","Saint Lucia","LCA","AMRO","Upper middle income",2023,0,"children","0"
"134","Saint Vincent and the Grenadines","VCT","AMRO","Upper middle income",2023,0,"children","0"
"135","Samoa","WSM","WPRO","Lower middle income",2023,0,"children","0"
"136","Sao Tome And Principe","STP","AFRO","Lower middle income",2023,0,"children","0"
"137","Senegal","SEN","AFRO","Lower middle income",2023,0,"children","0"
"138","Seychelles","SYC","AFRO","High income",2023,0,"children","0"
"139","Singapore","SGP","WPRO","High income",2023,0,"children","0"
"140","Solomon Islands","SLB","WPRO","Lower middle income",2023,0,"children","0"
"141","Somalia","SOM","EMRO","Low income",2023,0,"children","0"
"142","South Africa","ZAF","AFRO","Upper middle income",2023,0,"children","0"
"143","South Sudan","SSD","AFRO","Low income",2023,0,"children","0"
"144","Spain","ESP","EURO","High income",2023,0,"children","0"
"145","Sri Lanka","LKA","SEARO","Lower middle income",2023,0,"children","0"
"146","Sudan","SDN","EMRO","Low income",2023,0,"children","0"
"147","Suriname","SUR","AMRO","Upper middle income",2023,0,"children","0"
"148","Sweden","SWE","EURO","High income",2023,0,"children","0"
"149","Syrian Arab Republic","SYR","EMRO","Low income",2023,0,"children","0"
"150","Tajikistan","TJK","EURO","Lower middle income",2023,0,"children","0"
"151","Tanzania, United Republic of","TZA","AFRO","Lower middle income",2023,0,"children","0"
"152","Timor-Leste","TLS","SEARO","Lower middle income",2023,0,"children","0"
"153","Togo","TGO","AFRO","Low income",2023,0,"children","0"
"154","Tonga","TON","WPRO","Upper middle income",2023,0,"children","0"
"155","Turkey","TUR","EURO","Upper middle income",2023,0,"children","0"
"156","Uganda","UGA","AFRO","Low income",2023,0,"children","0"
"157","Vanuatu","VUT","WPRO","Lower middle income",2023,0,"children","0"
"158","Venezuela","VEN","AMRO","Upper middle income",2023,0,"children","0"
"159","Viet Nam","VNM","WPRO","Lower middle income",2023,0,"children","0"
"160","Yemen","YEM","EMRO","Low income",2023,0,"children","0"
"161","Zambia","ZMB","AFRO","Lower middle income",2023,0,"children","0"
