country,iso3c,WHO_region,income_g,year,model_age_group,vacc_scenario,doses,pop,cluster_code,hemisphere,intro_year,vacc_used
Albania,ALB,EURO,Upper middle income,2031,4,0,142494.2772,568159,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2032,1,0,1133.675,113367.5,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2032,2,0,3523.41,352341,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2032,3,0,302477.78615292197,2028512.8742177882,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2032,4,0,144916.5036,577817,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2033,1,0,1100.695,110069.5,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2033,2,0,3404.3299999999995,340433,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2033,3,0,299793.91635486926,2010043.3391404368,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2033,4,0,147229.632,587040,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2034,1,0,1067.6399999999999,106764,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2034,2,0,3297.2649999999994,329726.5,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2034,3,0,296871.4892619961,1989935.832218373,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2034,4,0,149415.4794,595755.5,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2035,1,0,1035.4750000000001,103547.5,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2035,2,0,3200.9500000000003,320095,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2035,3,0,293908.82556368044,1969602.6132876922,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2035,4,0,151359.8064,603508,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2036,1,0,1004.385,100438.5,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2036,2,0,3115.3949999999995,311539.5,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2036,3,0,290956.2332241818,1949356.3956838,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2036,4,0,152961.5406,609894.5,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2037,1,0,974.1,97410,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2037,2,0,3035.715,303571.5,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2037,3,0,288044.2800951806,1929423.6006571248,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2037,4,0,154194.8496,614812,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2038,1,0,945.485,94548.5,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2038,2,0,2957.98,295798,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2038,3,0,285268.113647215,1910501.182513996,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2038,4,0,155097.855,618412.5,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2039,1,0,918.765,91876.5,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2039,2,0,2880.415,288041.5,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2039,3,0,282562.7696244911,1892113.7631785893,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2039,4,0,155708.6784,620848,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2040,1,0,894.595,89459.5,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2040,2,0,2802.7200000000003,280272,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2040,3,0,279932.6407741376,1874337.008835875,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2040,4,0,156076.3512,622314,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2041,1,0,873.67,87367,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2041,2,0,2726.33,272633,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2041,3,0,277392.84248205216,1857221.7587951715,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2041,4,0,156254.4192,623024,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2042,1,0,856.22,85622,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2042,2,0,2651.4100000000003,265141,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2042,3,0,274905.23165987816,1840510.8759261654,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2042,4,0,156262.3194,623055.5,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2043,1,0,842.125,84212.5,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2043,2,0,2579.005,257900.5,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2043,3,0,272449.23894863453,1824023.812313248,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2043,4,0,156127.2636,622517,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2044,1,0,830.885,83088.5,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2044,2,0,2509.555,250955.5,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2044,3,0,269991.060269088,1807531.0668524397,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2044,4,0,155900.6658,621613.5,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2045,1,0,821.66,82166,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2045,2,0,2442.8450000000003,244284.5,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2045,3,0,267456.50553900003,1790500.5905019115,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2045,4,0,155649.1134,620610.5,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2046,1,0,813.7,81370,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2046,2,0,2379.01,237901,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2046,3,0,264750.7668154977,1772309.7581624477,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2046,4,0,155442.4542,619786.5,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2047,1,0,806.7799999999999,80678,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2047,2,0,2319.61,231961,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2047,3,0,261894.3711030697,1753049.9921717502,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2047,4,0,155370.8508,619501,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2048,1,0,799.9700000000001,79997,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2048,2,0,2264.845,226484.5,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2048,3,0,258802.4289209692,1732096.3530314662,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2048,4,0,155530.6104,620138,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2049,1,0,792.465,79246.5,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2049,2,0,2214.41,221441,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2049,3,0,255392.87664697896,1708922.8498621918,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2049,4,0,155969.8866,621889.5,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2050,1,0,783.795,78379.5,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2050,2,0,2168.665,216866.5,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2050,3,0,251677.74081209765,1683595.132148898,GBR,NH,2010,0
Albania,ALB,EURO,Upper middle income,2050,4,0,156722.412,624890,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2025,1,0,0,4504566,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2025,2,0,0,12121232,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2025,3,0,1314936.99175992,35948774.88341184,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2025,4,0,0,3228414.5,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2026,1,0,0,4379228,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2026,2,0,0,12288680.5,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2026,3,0,1333830.01930926,36425314.82460746,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2026,4,0,0,3383040.5,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2027,1,0,0,4260227,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2027,2,0,0,12390866,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2027,3,0,1353773.50043943,36932303.19823343,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2027,4,0,0,3546611.5,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2028,1,0,0,4148649.5,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2028,2,0,0,12437305.5,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2028,3,0,1374432.49237548,37461245.31538227,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2028,4,0,0,3720537,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2029,1,0,0,4046998,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2029,2,0,0,12431968,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2029,3,0,1395501.65869974,38004604.28009926,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2029,4,0,0,3905451.5,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2030,1,0,0,3958526,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2030,2,0,0,12364055,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2030,3,0,1417413.271299,38573709.12662343,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2030,4,0,0,4101022.5,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2031,1,0,0,3886066.5,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2031,2,0,0,12239569,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2031,3,0,1440054.24437692,39167125.7409005,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2031,4,0,0,4306261.5,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2032,1,0,0,3830691.5,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2032,2,0,0,12067259,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2032,3,0,1463416.54464652,39784425.19757809,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2032,4,0,0,4520053,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2033,1,0,0,3793038.5,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2033,2,0,0,11851642,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2033,3,0,1487389.63693967,40421914.66156562,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2033,4,0,0,4741228,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2034,1,0,0,3772976.5,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2034,2,0,0,11612650,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2034,3,0,1511007.19073104,41053975.250830956,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2034,4,0,0,4968661.5,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2035,1,0,0,3770594,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2035,2,0,0,11358971.5,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2035,3,0,1534438.73936455,41683983.84289919,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2035,4,0,0,5202026.5,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2036,1,0,0,3784512,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2036,2,0,0,11105731.5,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2036,3,0,1556854.63738153,42289536.873644896,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2036,4,0,0,5440647.5,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2037,1,0,0,3812789.5,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2037,2,0,0,10862252,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2037,3,0,1577758.17973593,42856623.432459086,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2037,4,0,0,5683902,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2038,1,0,0,3853359,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2038,2,0,0,10634996,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2038,3,0,1597205.67094947,43386440.656388715,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2038,4,0,0,5931743.5,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2039,1,0,0,3903785.5,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2039,2,0,0,10437918.5,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2039,3,0,1614748.77256143,43867203.281019606,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2039,4,0,0,6184829.5,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2040,1,0,0,3961224.5,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2040,2,0,0,10274106,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2040,3,0,1630167.34390375,44291650.869433455,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2040,4,0,0,6445019,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2041,1,0,0,4022351,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2041,2,0,0,10143733.5,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2041,3,0,1643421.2185416,44657696.771453075,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2041,4,0,0,6714774,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2042,1,0,0,4084719,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2042,2,0,0,10048299.5,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2042,3,0,1654550.32453335,44966359.86149947,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2042,4,0,0,6996971.5,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2043,1,0,0,4145987,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2043,2,0,0,9989022.5,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2043,3,0,1663405.12832072,45213720.57731618,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2043,4,0,0,7294286.5,GBR,NH,2010,0
Algeria,DZA,AFRO,Lower middle income,2044,1,0,0,4203265,GBR,NH,2010,0
